Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Instrument
500165,Kansai Nerolac Paints,KANSAINER,Kansai Nerolac Paints Ltd,Active,A ,1.00,INE531A01024,Equity,,,,,
500171,GHCL Ltd.,GHCL,GHCL Ltd,Active,A ,10.00,INE539A01019,Equity,,,,,
500180,HDFC Bank Ltd.,HDFCBANK,HDFC Bank Ltd,Active,A ,1.00,INE040A01034,Equity,,,,,
500182,Hero MotoCorp Limited,HEROMOTOCO,Hero MotoCorp Ltd,Active,A ,2.00,INE158A01026,Equity,,,,,
500183,HFCL LIMITED,HFCL,HFCL Ltd,Active,A ,1.00,INE548A01028,Equity,,,,,
500184,Himadri Speciality Chemical Ltd.,HSCL,Himadri Speciality Chemical Ltd,Active,A ,1.00,INE019C01026,Equity,,,,,
500185,Hindustan Construction Co. Ltd.,HCC,Hindustan Construction Company Ltd,Active,A ,1.00,INE549A01026,Equity,,,,,
500187,AGI GREENPAC LIMITED,AGI,Agi Greenpac Ltd,Active,A ,2.00,INE415A01038,Equity,,,,,
500188,Hindustan Zinc Ltd.,HINDZINC,Hindustan Zinc Ltd,Active,A ,2.00,INE267A01025,Equity,,,,,
500209,Infosys Ltd,INFY,Infosys Ltd,Active,A ,5.00,INE009A01021,Equity,,,,,
500210,Ingersoll-Rand (India) Ltd.,INGERRAND,Ingersoll-Rand (India) Ltd,Active,A ,10.00,INE177A01018,Equity,,,,,
500214,Ion Exchange (India) Ltd,IONEXCHANG,Ion Exchange India Ltd-$,Active,A ,1.00,INE570A01022,Equity,,,,,
500219,Jain Irrigation Systems Ltd.,JISLJALEQS,Jain Irrigation Systems Ltd,Active,A ,2.00,INE175A01038,Equity,,,,,
500228,JSW Steel Limited,JSWSTEEL,JSW Steel Ltd,Active,A ,1.00,INE019A01038,Equity,,,,,
500233,Kajaria Ceramics Ltd,KAJARIACER,Kajaria Ceramics Ltd,Active,A ,1.00,INE217B01036,Equity,,,,,
500238,Whirlpool of India Ltd,WHIRLPOOL,Whirlpool of India Ltd,Active,A ,10.00,INE716A01013,Equity,,,,,
500241,Kirloskar Brothers Ltd.,KIRLOSBROS,Kirloskar Brothers Ltd-$,Active,A ,2.00,INE732A01036,Equity,,,,,
500247,Kotak Mahindra Bank Ltd.,KOTAKBANK,Kotak Mahindra Bank Ltd,Active,A ,1.00,INE237A01036,Equity,,,,,
500249,KSB LIMITED,KSB,KSB Ltd,Active,A ,2.00,INE999A01023,Equity,,,,,
500251,Trent Ltd [Lakme Ltd],TRENT,Trent Ltd,Active,A ,1.00,INE849A01020,Equity,,,,,
500252,LMW Limited,LMW,LMW Ltd,Active,A ,10.00,INE269B01029,Equity,,,,,
500253,Lic Housing Finance Ltd.,LICHSGFIN,LIC Housing Finance Ltd,Active,A ,2.00,INE115A01026,Equity,,,,,
500257,Lupin Ltd,LUPIN,Lupin Ltd,Active,A ,2.00,INE326A01037,Equity,,,,,
500260,The Ramco Cements Limited,RAMCOCEM,The Ramco Cements Ltd,Active,A ,1.00,INE331A01037,Equity,,,,,
500265,Maharashtra Seamless Ltd.,MAHSEAMLES,Maharashtra Seamless Ltd,Active,A ,5.00,INE271B01025,Equity,,,,,
500266,Maharashtra Scooters Ltd.,MAHSCOOTER,Maharashtra Scooters Ltd,Active,A ,10.00,INE288A01013,Equity,,,,,
500271,Max Financial Services Limited,MFSL,Max Financial Services Ltd,Active,A ,2.00,INE180A01020,Equity,,,,,
500285,SpiceJet Limited,SPICEJET,Spicejet Ltd,Active,A ,10.00,INE285B01017,Equity,,,,,
500288,Morepen Laboratories Ltd.,MOREPENLAB,Morepen Laboratories Ltd,Active,A ,2.00,INE083A01026,Equity,,,,,
500290,M.R.F. Ltd.,MRF,MRF Ltd,Active,A ,10.00,INE883A01011,Equity,,,,,
500294,NCC Limited,NCC,NCC Ltd,Active,A ,2.00,INE868B01028,Equity,,,,,
500295,Vedanta Limited,VEDL,Vedanta Ltd,Active,A ,1.00,INE205A01025,Equity,,,,,
500300,Grasim Industries Ltd,GRASIM,Grasim Industries Ltd,Active,A ,2.00,INE047A01021,Equity,,,,,
500312,Oil And Natural Gas Corporation Ltd,ONGC,Oil and Natural Gas Corporation Ltd,Active,A ,5.00,INE213A01029,Equity,,,,,
500325,Reliance Industries Ltd,RELIANCE,Reliance Industries Ltd,Active,A ,10.00,INE002A01018,Equity,,,,,
500330,Raymond Limited,RAYMOND,Raymond Ltd,Active,A ,10.00,INE301A01014,Equity,,,,,
500331,Pidilite Industries Ltd.,PIDILITIND,Pidilite Industries Ltd,Active,A ,1.00,INE318A01026,Equity,,,,,
500335,Birla Corporation Ltd.,BIRLACORPN,Birla Corporation Ltd,Active,A ,10.00,INE340A01012,Equity,,,,,
500336,Surya Roshni Ltd.,SURYAROSNI,Surya Roshni Ltd,Active,A ,5.00,INE335A01020,Equity,,,,,
500339,Rain Industries Limited,RAIN,Rain Industries Ltd,Active,A ,2.00,INE855B01025,Equity,,,,,
500355,Rallis India Ltd,RALLIS,Rallis India Ltd,Active,A ,1.00,INE613A01020,Equity,,,,,
500368,Patanjali Foods Limited,PATANJALI,Patanjali Foods Ltd,Active,A ,2.00,INE619A01035,Equity,,,,,
500378,Jindal Saw Ltd.,JINDALSAW,Jindal Saw Ltd,Active,A ,1.00,INE324A01032,Equity,,,,,
500380,JK Lakshmi Cement Limited,JKLAKSHMI,JK Lakshmi Cement Ltd,Active,A ,5.00,INE786A01032,Equity,,,,,
500387,Shree Cements Ltd.,SHREECEM,Shree Cement Ltd,Active,A ,10.00,INE070A01015,Equity,,,,,
500400,Tata Power Co. Ltd,TATAPOWER,Tata Power Company Ltd,Active,A ,1.00,INE245A01021,Equity,,,,,
500403,Sundram Fasteners Ltd.,SUNDRMFAST,Sundram Fasteners Ltd,Active,A ,1.00,INE387A01021,Equity,,,,,
500405,Supreme Petrochem Ltd.,SPLPETRO,Supreme Petrochem Ltd,Active,A ,2.00,INE663A01033,Equity,,,,,
500408,Tata Elxsi Ltd,TATAELXSI,Tata Elxsi Ltd,Active,A ,10.00,INE670A01012,Equity,,,,,
500410,ACC Ltd,ACC,ACC Ltd,Active,A ,10.00,INE012A01025,Equity,,,,,
500411,Thermax Ltd.,THERMAX,Thermax Ltd,Active,A ,2.00,INE152A01029,Equity,,,,,
500413,Thomas Cook (India) Ltd.,THOMASCOOK,Thomas Cook (India) Ltd,Active,A ,1.00,INE332A01027,Equity,,,,,
500420,Torrent Pharmaceuticals Ltd.,TORNTPHARM,Torrent Pharmaceuticals Ltd,Active,A ,5.00,INE685A01028,Equity,,,,,
500425,Ambuja Cements Ltd.,AMBUJACEM,Ambuja Cements Ltd,Active,A ,2.00,INE079A01024,Equity,,,,,
500440,Hindalco Industries Ltd.,HINDALCO,Hindalco Industries Ltd,Active,A ,1.00,INE038A01020,Equity,,,,,
500459,Procter & Gamble Hygiene & Health Care Ltd.,PGHH,Procter & Gamble Hygiene and Health Care Ltd,Active,A ,10.00,INE179A01014,Equity,,,,,
500463,BLACK BOX LIMITED,BBOX,Black Box Ltd,Active,A ,2.00,INE676A01027,Equity,,,,,
500469,Federal Bank Ltd.,FEDERALBNK,Federal Bank Ltd,Active,A ,2.00,INE171A01029,Equity,,,,,
500470,TATA STEEL LIMITED,TATASTEEL,Tata Steel Ltd,Active,A ,1.00,INE081A01020,Equity,,,,,
500472,SKF India Ltd.,SKFINDIA,SKF India Ltd,Active,A ,10.00,INE640A01023,Equity,,,,,
500477,Ashok Leyland Ltd.,ASHOKLEY,Ashok Leyland Ltd,Active,A ,1.00,INE208A01029,Equity,,,,,
500480,Cummins India Ltd.,CUMMINSIND,Cummins India Ltd,Active,A ,2.00,INE298A01020,Equity,,,,,
500483,Tata Communications Limited,TATACOMM,Tata Communications Ltd,Active,A ,10.00,INE151A01013,Equity,,,,,
500488,Abbott India Ltd.,ABBOTINDIA,Abbott India Ltd,Active,A ,10.00,INE358A01014,Equity,,,,,
500490,Bajaj Holdings & Investment Limited,BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Active,A ,10.00,INE118A01012,Equity,,,,,
500493,Bharat Forge Ltd,BHARATFORG,Bharat Forge Ltd,Active,A ,2.00,INE465A01025,Equity,,,,,
500495,Escorts Kubota Limited,ESCORTS,Escorts Kubota Ltd,Active,A ,10.00,INE042A01014,Equity,,,,,
500510,Larsen & Toubro Limited,LT,Larsen & Toubro Ltd,Active,A ,2.00,INE018A01030,Equity,,,,,
500520,Mahindra & Mahindra Ltd.,M&M,Mahindra & Mahindra Ltd,Active,A ,5.00,INE101A01026,Equity,,,,,
