Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Instrument
500280,Century Enka Ltd.,CENTENKA,Century Enka Ltd,Active,B ,10.00,INE485A01015,Equity,,,,,
500282,Modern Thread (India) Ltd.,MODTHREAD,Modern Thread India Ltd,Active,B ,10.00,INE794W01014,Equity,,,,,
500284,Lords Chloro Alkali Ltd,LORDSCHLO,Lords Chloro Alkali Ltd,Active,B ,10.00,INE846D01012,Equity,,,,,
500292,HeidelbergCement  India Limited,HEIDELBERG,HeidelbergCement India Ltd,Active,B ,10.00,INE578A01017,Equity,,,,,
500296,Nahar Spinning Mills Ltd.,NAHARSPING,Nahar Spinning Mills Ltd,Active,B ,5.00,INE290A01027,Equity,,,,,
500304,NIIT Ltd.,NIITLTD,NIIT Ltd,Active,B ,2.00,INE161A01038,Equity,,,,,
500306,Jaykay Enterprises Limited,JAYKAY,Jaykay Enterprises Ltd,Active,B ,1.00,INE903A01025,Equity,,,,,
500307,Nirlon Limited,NIRLON,Nirlon Ltd,Active,B ,10.00,INE910A01012,Equity,,,,,
500313,Oil Country Tubular Ltd.,OILCOUNTUB,Oil Country Tubular Ltd,Active,B ,10.00,INE591A01010,Equity,,,,,
500314,Oriental Hotels Ltd.,ORIENTHOT,Oriental Hotels Ltd,Active,B ,1.00,INE750A01020,Equity,,,,,
500317,Oswal Agro Mills Ltd.,OSWALAGRO,Oswal Agro Mills Ltd,Active,B ,10.00,INE142A01012,Equity,,,,,
500327,Pil Italica Lifestyle Limited,PILITA,Pil Italica Lifestyle Ltd,Active,B ,1.00,INE600A01035,Equity,,,,,
500333,Pix Transmissions Ltd.,PIXTRANS,Pix Transmissions Ltd,Active,B ,10.00,INE751B01018,Equity,,,,,
500337,Prime Securities Ltd.,PRIMESECU,Prime Securities Ltd,Active,B ,5.00,INE032B01021,Equity,,,,,
500338,PRISM JOHNSON LIMITED.,PRSMJOHNSN,Prism Johnson Ltd,Active,B ,10.00,INE010A01011,Equity,,,,,
500342,Prudential Sugar Corporation Ltd,PRUDMOULI,Prudential Sugar Corporation Ltd,Active,B ,10.00,INE024D01016,Equity,,,,,
500343,AMJ LAND HOLDINGS LIMITED,AMJLAND,AMJ Land Holdings Ltd,Active,B ,2.00,INE606A01024,Equity,,,,,
500346,Punjab Communications Limited,PUNJCOMMU,Punjab Communications Ltd-$,Active,B ,10.00,INE609A01010,Equity,,,,,
500350,RSWM Limited,RSWM,RSWM Ltd,Active,B ,10.00,INE611A01016,Equity,,,,,
500354,Rajshree Sugars & Chemicals Ltd.,RAJSREESUG,Rajshree Sugars & Chemicals Ltd,Active,B ,10.00,INE562B01019,Equity,,,,,
500356,Shree Rama Newsprint Limited,RAMANEWS,Shree Rama Newsprint Ltd,Active,B ,10.00,INE278B01020,Equity,,,,,
500365,WELSPUN SPECIALTY SOLUTIONS LIMITED,WELSPLSOL,Welspun Specialty Solutions Ltd,Active,B ,6.00,INE731F01037,Equity,,,,,
500367,Rubfila International Ltd.,RUBFILA,Rubfila International Ltd,Active,B ,5.00,INE642C01025,Equity,,,,,
500402,SPML Infra Limited,SPMLINFRA,SPML Infra Ltd,Active,B ,2.00,INE937A01023,Equity,,,,,
500404,Sunflag Iron & Steel Co. Ltd.,SUNFLAG,Sunflag Iron & Steel Company Ltd,Active,B ,10.00,INE947A01014,Equity,,,,,
500407,Swaraj Engines Ltd.,SWARAJENG,Swaraj Engines Ltd,Active,B ,10.00,INE277A01016,Equity,,,,,
500412,Thirumalai Chemicals Ltd.,TIRUMALCHM,Thirumalai Chemicals Ltd,Active,B ,1.00,INE338A01024,Equity,,,,,
