symbol,date,entry_price,ret_5,ret_10,ret_20,ret_60,ret_120,mfe_5,mfe_10,mfe_20,mfe_60,mfe_120,mae_5,mae_10,mae_20,mae_60,mae_120,regime
360ONE,2020-02-10,315.9692,0.021413479541676907,-0.003949752064441694,-0.13686966957538899,-0.45731989067288836,-0.3085683667901808,0.07524087790835307,0.08630682990620611,0.08630682990620611,0.08630682990620611,0.08630682990620611,-0.053402989911674886,-0.053402989911674886,-0.11209383699423872,-0.5299491216232468,-0.5299491216232468,BULL
360ONE,2020-02-13,327.2527,-0.029751626189791644,-0.1087019297319777,-0.30092341484119156,-0.4752749175178692,-0.32714535281145124,0.048851544998712054,0.048851544998712054,0.048851544998712054,0.048851544998712054,0.048851544998712054,-0.08604115412951517,-0.09105196076304344,-0.33329106222805804,-0.5461562272824639,-0.5461562272824639,BULL
360ONE,2021-02-08,257.1461,0.044863600886810996,-0.019236146299710502,0.028369864446709567,0.005696372606856667,0.3088497161730239,0.12515919938120793,0.12515919938120793,0.12515919938120793,0.15754973534500433,0.39873441596042103,-0.010600588537022322,-0.011223580680399194,-0.03453678667496805,-0.09518441072993128,-0.09518441072993128,BULL
360ONE,2021-04-01,287.8288,-0.10234903525984893,-0.15900702084016607,-0.10052121260971807,-0.12667981800292394,0.23777085545296367,0.03415433062987444,0.03415433062987444,0.03415433062987444,0.03415433062987444,0.34278015264629524,-0.06899413818214158,-0.153637856948297,-0.1916382238330563,-0.1916382238330563,-0.1916382238330563,BULL
360ONE,2021-07-16,303.8735,-0.06022999702178704,-0.0018392521888219743,0.15671093399062455,0.2161020951152372,0.175685276932671,0.07332228707011314,0.07332228707011314,0.21658124186544742,0.2718805687234985,0.327061425231223,-0.061564433884494583,-0.08843350933858984,-0.08843350933858984,-0.08843350933858984,-0.08843350933858984,BULL
360ONE,2021-08-04,336.5656,0.018491788822149406,0.004578602210089197,0.05277544704509301,0.049180902623440964,0.027132303479618827,0.09840934427047798,0.09840934427047798,0.10506659028730196,0.18854570995966305,0.19815810053077315,-0.01595558191330319,-0.01595558191330319,-0.017322923079482935,-0.017322923079482935,-0.1268347091919079,BULL
360ONE,2021-10-18,371.0759,-0.055367648505332684,-0.048393603572746136,-0.0578727963740032,-0.029955596685206393,0.08636184672731378,0.07801018605627581,0.07801018605627581,0.08672861805361118,0.08672861805361118,0.13011839356853944,-0.10270486442261535,-0.10270486442261535,-0.10270486442261535,-0.2080396490313706,-0.2080396490313706,BULL
360ONE,2021-10-21,352.5468,0.03584346815798627,0.04429766487740056,-0.019814390600056506,-0.008453345768561861,0.1950506996517909,0.13377826716906802,0.13377826716906802,0.1438447321036526,0.1438447321036526,0.18951498070610753,-0.05554496594494688,-0.05554496594494688,-0.05554496594494688,-0.16641591981546844,-0.16641591981546844,BULL
360ONE,2022-09-08,405.724,0.039989500251402396,0.0033443917540002467,0.019008735002119737,0.03094246334946911,0.027550009365972968,0.036473809782019265,0.11193668602301081,0.11193668602301081,0.11193668602301081,0.13518598850450064,-0.044134436217724275,-0.044134436217724275,-0.044134436217724275,-0.044134436217724275,-0.044134436217724275,BULL
360ONE,2022-09-20,435.4829,-0.055472671831660894,-0.035952043122703545,-0.03672428928897091,-0.01969285131517217,-0.061660515257889466,0.032117219757653026,0.032117219757653026,0.032117219757653026,0.03456278076590386,0.06347321559583628,-0.0912382552793691,-0.0912382552793691,-0.0912382552793691,-0.0912382552793691,-0.0912382552793691,BULL
360ONE,2023-01-19,450.1245,-0.03144107907923252,-0.022621296996719862,-0.03860731864184246,-0.12651721912493105,0.09445053535188597,0.01963878882398092,0.01963878882398092,0.023210689487019695,0.02888067634621081,0.15596040650975448,-0.04429685564771523,-0.10646254536244973,-0.10646254536244973,-0.17030154990452642,-0.17030154990452642,BULL
360ONE,2023-07-12,479.1296,0.03507026073947426,0.021121842607929122,0.024535950189677275,0.033171609518593756,0.3604565445340886,0.08598195561284466,0.08598195561284466,0.08598195561284466,0.14473286559628137,0.4870039337999572,-0.017335810603227097,-0.017335810603227097,-0.02285999445661466,-0.04605601490703142,-0.04605601490703142,BULL
360ONE,2023-09-11,525.2373,-0.04937235036430204,-0.05752485590798674,-0.06347873618267404,0.18935479258613194,0.32105450241252864,0.04424304976055591,0.04424304976055591,0.04424304976055591,0.21399260867421252,0.46650609162753665,-0.06760087297684307,-0.06760087297684307,-0.10680581900790372,-0.10680581900790372,-0.10680581900790372,BULL
360ONE,2023-11-15,526.4504,-0.005155471436625211,0.07862317133769872,0.23356692292379308,0.31272499745465115,0.4243275339899069,0.04953059205577593,0.06794353276206085,0.35334230917100645,0.35334230917100645,0.670833757558167,-0.02126677081069734,-0.02126677081069734,-0.02126677081069734,-0.02126677081069734,-0.02126677081069734,BULL
360ONE,2023-11-30,567.8416,0.10541108647200209,0.14364956706236387,0.1998120602646935,0.2315661621128147,0.3404526896233035,0.12290857168618853,0.2546942668518826,0.2546942668518826,0.3564763483337607,0.5490430782105432,-0.019375297618208893,-0.019375297618208893,-0.019375297618208893,-0.019375297618208893,-0.019375297618208893,BULL
360ONE,2023-12-04,589.4579,0.05977627918804715,0.06495629289216412,0.07753649582099087,0.2119097903344752,0.2304871984920381,0.08172984024813303,0.2086827574963368,0.2086827574963368,0.3067323383060944,0.49223735910571387,-0.006742296608460029,-0.006742296608460029,-0.006742296608460029,-0.0272983023893648,-0.0272983023893648,BULL
360ONE,2023-12-06,621.3492,0.10374440008935394,-0.008268136500376852,0.033463469495092324,0.13281597530020148,0.2495624038785275,0.06864272135539894,0.1466460405839421,0.1466460405839421,0.23966313950351908,0.41564695021736564,-0.020514712177950832,-0.020514712177950832,-0.021606690730429833,-0.07722308164233568,-0.07722308164233568,BULL
360ONE,2024-02-13,691.0846,0.008264400624757123,0.01193761226917808,-0.015751906495963,0.08501593003229994,0.4409928972516533,0.026982948252645078,0.11457222458726464,0.11457222458726464,0.2727980047594751,0.7241622805659392,-0.03842612033316905,-0.03842612033316905,-0.050646331867328545,-0.08596458378612407,-0.08596458378612407,BULL
360ONE,2024-02-14,696.6983,-0.007146708984362408,0.00749736291878417,-0.026975665076260424,0.1086487508294479,0.448997363708222,0.04386231457719937,0.1055914733823808,0.1055914733823808,0.2625423371924403,0.7102697107198337,-0.04000827904991298,-0.04000827904991298,-0.0582958218787099,-0.09332949427320267,-0.09332949427320267,BULL
360ONE,2024-02-26,730.1371,-0.0359696829540645,-0.06719244919892445,-0.09661007501193966,0.04974873896970855,0.4815401107545418,0.05495762371203975,0.05495762371203975,0.05495762371203975,0.20472045592533228,0.6319428227931437,-0.053419693369916386,-0.10142396544429808,-0.134853166617612,-0.134853166617612,-0.134853166617612,BULL
