nohup: ignoring input
Total symbols to ingest: 501
  [121/501] ✅ COLPAL.NS: 247 rows
  [122/501] ✅ CONCORDBIO.NS: 247 rows
  [123/501] ✅ CONCOR.NS: 247 rows
  [124/501] ✅ COROMANDEL.NS: 247 rows
  [125/501] ✅ CRAFTSMAN.NS: 246 rows
  [126/501] ✅ CREDITACC.NS: 247 rows
  [127/501] ✅ CRISIL.NS: 247 rows
  [128/501] ✅ CROMPTON.NS: 247 rows
  [129/501] ✅ CUB.NS: 247 rows
  [130/501] ✅ CUMMINSIND.NS: 247 rows
  [131/501] ✅ CYIENT.NS: 247 rows
  [132/501] ✅ DABUR.NS: 247 rows
  [133/501] ✅ DALBHARAT.NS: 247 rows
  [134/501] ✅ DATAPATTNS.NS: 247 rows
  [135/501] ✅ DBREALTY.NS: 247 rows
  [136/501] ✅ DCMSHRIRAM.NS: 246 rows
  [137/501] ✅ DEEPAKFERT.NS: 247 rows
  [138/501] ✅ DEEPAKNTR.NS: 247 rows
  [139/501] ✅ DELHIVERY.NS: 247 rows
  [140/501] ✅ DEVYANI.NS: 247 rows
  [141/501] ✅ DIVISLAB.NS: 247 rows
  [142/501] ✅ DIXON.NS: 247 rows
  [143/501] ✅ DLF.NS: 247 rows
  [144/501] ✅ DMART.NS: 247 rows
  [145/501] ✅ DOMS.NS: 247 rows
  [146/501] ✅ DRREDDY.NS: 247 rows
  [147/501] ✅ ECLERX.NS: 247 rows
  [148/501] ✅ EICHERMOT.NS: 247 rows
  [149/501] ✅ EIDPARRY.NS: 247 rows
  [150/501] ✅ EIHOTEL.NS: 247 rows
  [151/501] ✅ ELECON.NS: 247 rows
  [152/501] ✅ ELGIEQUIP.NS: 247 rows
  [153/501] ✅ EMAMILTD.NS: 247 rows
  [154/501] ✅ EMCURE.NS: 245 rows
  [155/501] ✅ ENDURANCE.NS: 247 rows
  [156/501] ✅ ENGINERSIN.NS: 247 rows
  [157/501] ✅ ENRIN.NS: 166 rows
  [158/501] ✅ ERIS.NS: 246 rows
  [159/501] ✅ ESCORTS.NS: 247 rows
  [160/501] ✅ ETERNAL.NS: 246 rows
  [161/501] ✅ EXIDEIND.NS: 247 rows
  [162/501] ✅ FACT.NS: 247 rows
  [163/501] ✅ FEDERALBNK.NS: 247 rows
  [164/501] ✅ FINCABLES.NS: 247 rows
  [165/501] ✅ FINPIPE.NS: 246 rows
  [166/501] ✅ FIRSTCRY.NS: 247 rows
  [167/501] ✅ FIVESTAR.NS: 247 rows
  [168/501] ✅ FLUOROCHEM.NS: 247 rows
  [169/501] ✅ FORCEMOT.NS: 247 rows
  [170/501] ✅ FORTIS.NS: 247 rows
  [171/501] ✅ FSL.NS: 247 rows
  [172/501] ✅ GAIL.NS: 247 rows
  [173/501] ✅ GESHIP.NS: 247 rows
  [174/501] ✅ GICRE.NS: 247 rows
  [175/501] ✅ GILLETTE.NS: 247 rows
  [176/501] ✅ GLAND.NS: 246 rows
  [177/501] ✅ GLAXO.NS: 247 rows
  [178/501] ✅ GLENMARK.NS: 247 rows
  [179/501] ✅ GMDCLTD.NS: 247 rows
  [180/501] ✅ GMRAIRPORT.NS: 247 rows
  [181/501] ✅ GODFRYPHLP.NS: 247 rows
  [182/501] ✅ GODIGIT.NS: 246 rows
  [183/501] ✅ GODREJAGRO.NS: 247 rows
  [184/501] ✅ GODREJCP.NS: 247 rows
  [185/501] ✅ GODREJIND.NS: 247 rows
  [186/501] ✅ GODREJPROP.NS: 247 rows
  [187/501] ✅ GPIL.NS: 247 rows
  [188/501] ✅ GRANULES.NS: 246 rows
  [189/501] ✅ GRAPHITE.NS: 247 rows
  [190/501] ✅ GRASIM.NS: 247 rows
  [191/501] ✅ GRAVITA.NS: 247 rows
  [192/501] ✅ GRSE.NS: 247 rows
  [193/501] ✅ GSPL.NS: 246 rows
  [194/501] ✅ GUJGASLTD.NS: 246 rows
  [195/501] ✅ GVT&D.NS: 247 rows
  [196/501] ✅ HAL.NS: 247 rows
  [197/501] ✅ HAPPSTMNDS.NS: 247 rows
  [198/501] ✅ HAVELLS.NS: 247 rows
  [199/501] ✅ HBLENGINE.NS: 246 rows
  [200/501] ✅ HCLTECH.NS: 247 rows
  [201/501] ✅ HDFCAMC.NS: 247 rows
  [202/501] ✅ HDFCBANK.NS: 247 rows
  [203/501] ✅ HDFCLIFE.NS: 247 rows
  [204/501] ✅ HEG.NS: 247 rows
  [205/501] ✅ HEROMOTOCO.NS: 247 rows
  [206/501] ✅ HEXT.NS: 245 rows
  [207/501] ✅ HFCL.NS: 247 rows

1 Failed download:
['HINDALCO.NS']: TypeError("'NoneType' object is not subscriptable")
  [208/501] ⚠ No data: HINDALCO.NS
  [209/501] ❌ HINDCOPPER.NS: SSL SYSCALL error: EOF detected

  [210/501] ❌ HINDPETRO.NS: cursor already closed
  [211/501] ❌ HINDUNILVR.NS: cursor already closed
  [212/501] ❌ HINDZINC.NS: cursor already closed
  [213/501] ❌ HOMEFIRST.NS: cursor already closed
  [214/501] ❌ HONASA.NS: cursor already closed
  [215/501] ❌ HONAUT.NS: cursor already closed
  [216/501] ❌ HSCL.NS: cursor already closed
  [217/501] ❌ HUDCO.NS: cursor already closed
  [218/501] ❌ HYUNDAI.NS: cursor already closed
  [219/501] ❌ ICICIBANK.NS: cursor already closed
  [220/501] ❌ ICICIGI.NS: cursor already closed
  [221/501] ❌ ICICIPRULI.NS: cursor already closed
  [222/501] ❌ IDBI.NS: cursor already closed
  [223/501] ❌ IDEA.NS: cursor already closed
  [224/501] ❌ IDFCFIRSTB.NS: cursor already closed
  [225/501] ❌ IEX.NS: cursor already closed
  [226/501] ❌ IFCI.NS: cursor already closed
  [227/501] ❌ IGIL.NS: cursor already closed
