symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,exit_reason
ADANIGREEN,2020-01-01,2020-01-16,174.75,179.7,56,236.9471999999987,TRAILING_STOP_20
ANANTRAJ,2020-01-01,2020-01-20,14.4332,15.3677,690,602.3901480000004,SCORE_LOW
AJANTPHARM,2020-01-20,2020-01-29,748.77,720.0556,13,-410.73009120000097,SCORE_LOW
GLAXO,2020-01-01,2020-02-06,1393.7214,1146.9792,7,-1759.3108175999987,TRAILING_STOP_20
ATGL,2020-01-01,2020-02-27,176.0947,146.6211,56,-1683.3647263999983,SCORE_LOW
CRISIL,2020-01-01,2020-02-27,1778.6667,1415.9661,5,-1841.822322000001,TRAILING_STOP_20
EIDPARRY,2020-01-01,2020-02-28,198.2688,179.2841,50,-985.0918200000015,TRAILING_STOP_20
ALKYLAMINE,2020-01-01,2020-03-12,426.878,495.6033,23,1535.0863964,TRAILING_STOP_20
APLAPOLLO,2020-01-01,2020-03-12,186.7015,150.822,53,-1933.5877640000008,TRAILING_STOP_20
ASTERDM,2020-01-01,2020-03-12,123.417,92.0507,80,-2538.7602239999997,TRAILING_STOP_20
ALKEM,2020-01-01,2020-03-13,1944.1392,2271.9958,5,1593.843084000002,REGIME_BEAR
APLLTD,2020-01-16,2020-03-13,538.4052,529.6417,19,-206.75926919999984,REGIME_BEAR
AARTIIND,2020-01-29,2020-03-13,485.12,428.9897,21,-1214.7714348000009,REGIME_BEAR
ABFRL,2020-02-06,2020-03-13,250.7146,223.7555,38,-1058.456635999999,REGIME_BEAR
