date,equity,regime,daily_pnl
2014-01-01,997817.3334116,NEUTRAL,0.0
2014-01-02,982566.0742692002,BULLISH,-0.015284620372603475
2014-01-03,996793.6229692,BULLISH,0.014479991801652492
2014-01-06,1000669.8409996,BULLISH,0.003888686625877158
2014-01-07,1002090.9084996,BULLISH,0.0014201162479130502
2014-01-08,999397.4702996002,BULLISH,-0.002687818218042426
2014-01-09,982895.826678,BULLISH,-0.01651159234638966
2014-01-10,968404.5584504,BULLISH,-0.014743442625631764
2014-01-13,967691.4833696,BULLISH,-0.0007363400704567535
2014-01-14,966778.9421696,BULLISH,-0.0009430084026599284
2014-01-15,965613.8057696,BULLISH,-0.001205173539863602
2014-01-16,976545.6669696,BULLISH,0.011321152550513913
2014-01-17,969040.4425696,BULLISH,-0.007685482260435528
2014-01-20,980091.5812696,BULLISH,0.011404207930368448
2014-01-21,975399.8266008,BULLISH,-0.004787057412249496
2014-01-22,978762.4121007998,BULLISH,0.0034473919394861774
2014-01-23,975968.1912008,BULLISH,-0.0028548510501158475
2014-01-24,974416.4226008,BULLISH,-0.0015899786632295188
2014-01-27,962940.1974908,BULLISH,-0.011777536629944074
2014-01-28,972534.1329936,BULLISH,0.009963168562076241
2014-01-29,977193.6048952,BULLISH,0.0047910625895026815
2014-01-30,980283.2971952,BULLISH,0.00316180159645163
2014-01-31,980871.3129232,BULLISH,0.0005998426472044738
2014-02-03,979785.9709232,BULLISH,-0.0011065080461629684
2014-02-04,976351.0667232,BULLISH,-0.003505769935410963
2014-02-05,975055.4720231998,BULLISH,-0.0013269762733485457
2014-02-06,974454.79137,BULLISH,-0.0006160476715785235
2014-02-07,976876.63557,BULLISH,0.0024853325382034885
2014-02-10,984009.94557,BULLISH,0.007302160518802614
2014-02-11,976247.7497992,BULLISH,-0.00788833060656069
2014-02-12,970798.3290576,BULLISH,-0.005582005943389756
2014-02-13,964223.9878464,BULLISH,-0.006772097782226316
2014-02-14,959469.4224464,BULLISH,-0.004930976059431269
2014-02-17,961837.4565464,NEUTRAL,0.002468066250576273
2014-02-18,969817.0332464,BULLISH,0.008296180030929134
2014-02-19,977311.6944464,BULLISH,0.007727912526873437
2014-02-20,972624.5625544,BULLISH,-0.004795943728735486
2014-02-21,973162.7950543998,BULLISH,0.0005533815623433025
2014-02-24,971573.1233544,BULLISH,-0.001633510557615292
