date,equity,cash,open_positions
2007-09-17,100000.0,100000.0,0
2007-09-18,100000.0,100000.0,0
2007-09-19,100000.0,100000.0,0
2007-09-20,100000.0,100000.0,0
2007-09-21,100000.0,100000.0,0
2007-09-24,100000.0,100000.0,0
2007-09-25,100000.0,100000.0,0
2007-09-26,100000.0,100000.0,0
2007-09-27,100000.0,100000.0,0
2007-09-28,100000.0,100000.0,0
2007-10-01,100000.0,100000.0,0
2007-10-03,100000.0,100000.0,0
2007-10-04,100000.0,100000.0,0
2007-10-05,100000.0,100000.0,0
2007-10-08,100000.0,100000.0,0
2007-10-09,100000.0,100000.0,0
2007-10-10,100000.0,100000.0,0
2007-10-11,100000.0,100000.0,0
2007-10-12,100000.0,100000.0,0
2007-10-15,99333.585622,90000.316122,1
2007-10-16,100266.987122,90000.316122,1
2007-10-17,101291.836622,90000.316122,1
2007-10-18,100727.422122,90000.316122,1
2007-10-19,99642.973092,99642.973092,0
2007-10-22,99642.973092,99642.973092,0
2007-10-23,99642.973092,99642.973092,0
2007-10-24,99490.07215440001,89823.0153544,1
2007-10-25,100159.3485544,89823.0153544,1
2007-10-26,98985.70545520002,90096.68265520001,1
2007-10-29,99198.7481464,73161.5849464,3
2007-10-30,98748.95794640001,73161.5849464,3
2007-10-31,101450.4735464,73161.5849464,3
2007-11-01,101754.46034640001,73161.5849464,3
2007-11-02,102102.08167439999,76229.8799744,3
2007-11-05,102139.1048028,62925.4215028,4
2007-11-06,102963.91302920002,60288.29792920001,4
2007-11-07,100356.30827400001,80508.28197400001,2
2007-11-08,99230.12409320002,90505.77659320002,1
2007-11-12,99571.82784880002,99571.82784880002,0
2007-11-13,99571.82784880002,99571.82784880002,0
2007-11-14,99258.76520760002,89651.74530760002,1
2007-11-15,99705.48264840004,79903.81914840003,2
2007-11-16,99265.41871640002,69936.57601640002,3
2007-11-19,99394.85298080003,89445.68508080003,1
2007-11-20,99686.73989640003,79483.04719640003,2
2007-11-21,98563.20196880003,98563.20196880003,0
2007-11-22,98563.20196880003,98563.20196880003,0
2007-11-23,98563.20196880003,98563.20196880003,0
2007-11-26,98563.20196880003,98563.20196880003,0
2007-11-27,98563.20196880003,98563.20196880003,0
2007-11-28,98563.20196880003,98563.20196880003,0
2007-11-29,98524.08378000003,88744.53658000003,1
2007-11-30,99581.33158000003,88744.53658000003,1
2007-12-03,100324.93398000003,88744.53658000003,1
2007-12-04,100152.24369520003,100152.24369520003,0
2007-12-05,100152.24369520003,100152.24369520003,0
2007-12-06,99954.16149040003,90198.48609040002,1
2007-12-07,100526.52129040002,90198.48609040002,1
2007-12-10,99324.03590080002,90157.41830080003,1
2007-12-11,100074.48080640002,80144.95440640002,2
2007-12-12,99080.23207240002,60099.809772400025,4
2007-12-13,99238.09470200003,49945.58840200002,5
2007-12-14,99631.87691800002,51448.94331800002,5
2007-12-17,97448.89370280001,68915.2169028,3
2007-12-18,96373.1277028,68915.2169028,3
2007-12-19,97156.1629028,68915.2169028,3
2007-12-20,96633.58832360001,87531.99552360001,1
2007-12-24,96729.20693160001,96729.20693160001,0
2007-12-26,96729.20693160001,96729.20693160001,0
2007-12-27,96729.20693160001,96729.20693160001,0
2007-12-28,96729.20693160001,96729.20693160001,0
2007-12-31,96473.2057076,87056.6147076,1
2008-01-01,96944.1422076,87056.6147076,1
2008-01-02,94930.9992144,48409.6222144,5
2008-01-03,96507.4895672,38819.1262672,6
2008-01-04,97668.9632056,47561.6477056,5
2008-01-07,96375.84545280001,28307.449552800004,7
2008-01-08,94677.7947772,37301.721877200005,6
2008-01-09,98063.2715384,66282.5427384,3
2008-01-10,95293.5398192,84038.9118192,1
2008-01-11,93496.15731360001,93496.15731360001,0
2008-01-14,93496.15731360001,93496.15731360001,0
2008-01-15,93496.15731360001,93496.15731360001,0
2008-01-16,93496.15731360001,93496.15731360001,0
2008-01-17,93496.15731360001,93496.15731360001,0
2008-01-18,93496.15731360001,93496.15731360001,0
2008-01-21,93496.15731360001,93496.15731360001,0
2008-01-22,93496.15731360001,93496.15731360001,0
2008-01-23,93496.15731360001,93496.15731360001,0
2008-01-24,93496.15731360001,93496.15731360001,0
2008-01-25,93496.15731360001,93496.15731360001,0
2008-01-28,93496.15731360001,93496.15731360001,0
2008-01-29,93496.15731360001,93496.15731360001,0
2008-01-30,93496.15731360001,93496.15731360001,0
2008-01-31,93496.15731360001,93496.15731360001,0
2008-02-01,93496.15731360001,93496.15731360001,0
2008-02-04,93496.15731360001,93496.15731360001,0
2008-02-05,93496.15731360001,93496.15731360001,0
2008-02-06,93496.15731360001,93496.15731360001,0
2008-02-07,93496.15731360001,93496.15731360001,0
2008-02-08,93496.15731360001,93496.15731360001,0
2008-02-11,93496.15731360001,93496.15731360001,0
2008-02-12,93496.15731360001,93496.15731360001,0
2008-02-13,93496.15731360001,93496.15731360001,0
2008-02-14,93496.15731360001,93496.15731360001,0
2008-02-15,93496.15731360001,93496.15731360001,0
2008-02-18,93496.15731360001,93496.15731360001,0
2008-02-19,93496.15731360001,93496.15731360001,0
2008-02-20,93496.15731360001,93496.15731360001,0
2008-02-21,93496.15731360001,93496.15731360001,0
2008-02-22,93496.15731360001,93496.15731360001,0
2008-02-25,93496.15731360001,93496.15731360001,0
2008-02-26,93496.15731360001,93496.15731360001,0
2008-02-27,93496.15731360001,93496.15731360001,0
2008-02-28,93496.15731360001,93496.15731360001,0
2008-02-29,93496.15731360001,93496.15731360001,0
2008-03-03,93496.15731360001,93496.15731360001,0
2008-03-04,93496.15731360001,93496.15731360001,0
2008-03-05,93496.15731360001,93496.15731360001,0
2008-03-07,93496.15731360001,93496.15731360001,0
2008-03-10,93496.15731360001,93496.15731360001,0
2008-03-11,93496.15731360001,93496.15731360001,0
2008-03-12,93496.15731360001,93496.15731360001,0
2008-03-13,93496.15731360001,93496.15731360001,0
2008-03-14,93496.15731360001,93496.15731360001,0
2008-03-17,93496.15731360001,93496.15731360001,0
2008-03-18,93496.15731360001,93496.15731360001,0
2008-03-19,93496.15731360001,93496.15731360001,0
2008-03-24,93496.15731360001,93496.15731360001,0
2008-03-25,93496.15731360001,93496.15731360001,0
2008-03-26,93496.15731360001,93496.15731360001,0
2008-03-27,93496.15731360001,93496.15731360001,0
2008-03-28,93496.15731360001,93496.15731360001,0
2008-03-31,93496.15731360001,93496.15731360001,0
2008-04-01,93496.15731360001,93496.15731360001,0
2008-04-02,93496.15731360001,93496.15731360001,0
2008-04-03,93496.15731360001,93496.15731360001,0
2008-04-04,93496.15731360001,93496.15731360001,0
2008-04-07,93496.15731360001,93496.15731360001,0
2008-04-08,93496.15731360001,93496.15731360001,0
2008-04-09,93496.15731360001,93496.15731360001,0
2008-04-10,93496.15731360001,93496.15731360001,0
2008-04-11,93496.15731360001,93496.15731360001,0
2008-04-15,93496.15731360001,93496.15731360001,0
2008-04-16,93496.15731360001,93496.15731360001,0
2008-04-17,93496.15731360001,93496.15731360001,0
2008-04-21,93496.15731360001,93496.15731360001,0
2008-04-22,93496.15731360001,93496.15731360001,0
2008-04-23,93496.15731360001,93496.15731360001,0
2008-04-24,93496.15731360001,93496.15731360001,0
2008-04-25,93496.15731360001,93496.15731360001,0
2008-04-28,93496.15731360001,93496.15731360001,0
2008-04-29,93496.15731360001,93496.15731360001,0
2008-04-30,93496.15731360001,93496.15731360001,0
2008-05-02,93496.15731360001,93496.15731360001,0
2008-05-05,93496.15731360001,93496.15731360001,0
2008-05-06,93496.15731360001,93496.15731360001,0
2008-05-07,93496.15731360001,93496.15731360001,0
2008-05-08,93496.15731360001,93496.15731360001,0
2008-05-09,93496.15731360001,93496.15731360001,0
2008-05-12,93496.15731360001,93496.15731360001,0
2008-05-13,93496.15731360001,93496.15731360001,0
2008-05-14,93496.15731360001,93496.15731360001,0
2008-05-15,93496.15731360001,93496.15731360001,0
2008-05-16,93496.15731360001,93496.15731360001,0
2008-05-20,93496.15731360001,93496.15731360001,0
2008-05-21,93496.15731360001,93496.15731360001,0
2008-05-22,93496.15731360001,93496.15731360001,0
2008-05-23,93496.15731360001,93496.15731360001,0
2008-05-26,93496.15731360001,93496.15731360001,0
2008-05-27,93496.15731360001,93496.15731360001,0
2008-05-28,93496.15731360001,93496.15731360001,0
2008-05-29,93496.15731360001,93496.15731360001,0
2008-05-30,93496.15731360001,93496.15731360001,0
2008-06-02,93496.15731360001,93496.15731360001,0
2008-06-03,93496.15731360001,93496.15731360001,0
2008-06-04,93496.15731360001,93496.15731360001,0
2008-06-05,93496.15731360001,93496.15731360001,0
2008-06-06,93496.15731360001,93496.15731360001,0
2008-06-09,93496.15731360001,93496.15731360001,0
2008-06-10,93496.15731360001,93496.15731360001,0
2008-06-11,93496.15731360001,93496.15731360001,0
2008-06-12,93496.15731360001,93496.15731360001,0
2008-06-13,93496.15731360001,93496.15731360001,0
2008-06-16,93496.15731360001,93496.15731360001,0
2008-06-17,93496.15731360001,93496.15731360001,0
2008-06-18,93496.15731360001,93496.15731360001,0
2008-06-19,93496.15731360001,93496.15731360001,0
2008-06-20,93496.15731360001,93496.15731360001,0
2008-06-23,93496.15731360001,93496.15731360001,0
2008-06-24,93496.15731360001,93496.15731360001,0
2008-06-25,93496.15731360001,93496.15731360001,0
2008-06-26,93496.15731360001,93496.15731360001,0
2008-06-27,93496.15731360001,93496.15731360001,0
2008-06-30,93496.15731360001,93496.15731360001,0
2008-07-01,93496.15731360001,93496.15731360001,0
2008-07-02,93496.15731360001,93496.15731360001,0
2008-07-03,93496.15731360001,93496.15731360001,0
2008-07-04,93496.15731360001,93496.15731360001,0
2008-07-07,93496.15731360001,93496.15731360001,0
2008-07-08,93496.15731360001,93496.15731360001,0
2008-07-09,93496.15731360001,93496.15731360001,0
2008-07-10,93496.15731360001,93496.15731360001,0
2008-07-11,93496.15731360001,93496.15731360001,0
2008-07-14,93496.15731360001,93496.15731360001,0
2008-07-15,93496.15731360001,93496.15731360001,0
2008-07-16,93496.15731360001,93496.15731360001,0
2008-07-17,93496.15731360001,93496.15731360001,0
2008-07-18,93496.15731360001,93496.15731360001,0
2008-07-21,93496.15731360001,93496.15731360001,0
2008-07-22,93496.15731360001,93496.15731360001,0
2008-07-23,93496.15731360001,93496.15731360001,0
2008-07-24,93496.15731360001,93496.15731360001,0
2008-07-25,93496.15731360001,93496.15731360001,0
2008-07-28,93496.15731360001,93496.15731360001,0
2008-07-29,93496.15731360001,93496.15731360001,0
