Portfolio,CAGR (%),Max Drawdown (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Total Return (%),Ann. Volatility (%),Years
MRI MRI-0x Strategy,31.44,-31.04,1.5,1.72,1.01,863.74,16.42,8.3
NIFTY 50 (Buy & Hold),7.12,-59.86,0.21,0.29,0.12,76.8,25.11,8.3
