Portfolio,CAGR (%),Max Drawdown (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Total Return (%),Ann. Volatility (%),Years
MRI MRI-0x Strategy,-18.9,-18.17,-1.52,-1.09,-1.04,-9.86,16.6,0.5
NIFTY 50 (Buy & Hold),-28.7,-38.44,-0.74,-0.84,-0.75,-15.44,42.01,0.5
