date,equity
2024-03-25,1000000.0
2024-04-01,1000000.0
2024-05-01,1000000.0
2024-06-03,1000000.0
2024-07-01,1000000.0
2024-08-01,1000000.0
2024-09-02,1000000.0
2024-10-01,1000000.0
2024-11-01,1000000.0
2024-12-02,1000000.0
2025-01-01,1000000.0
2025-02-01,1000000.0
2025-03-03,1000000.0
2025-04-01,1000000.0
2025-05-01,1000000.0
2025-06-02,1000000.0
2025-07-01,1000000.0
2025-08-01,1000000.0
2025-09-01,1000000.0
2025-10-01,1000000.0
2025-11-03,1000000.0
2025-12-01,1000000.0
2026-01-01,1000000.0
2026-02-02,996826.4549624
2026-03-02,1019056.3910135999
2026-04-01,871407.7057135999
2026-05-01,871633.9789136001
2026-06-01,896971.5157136
2026-06-19,734122.5170136
