ticker,name,sector,industry,fiscal_year,revenue,ebitda,pat,roce,capex,employee_cost,total_assets,pe,ev_ebitda,pb,debt_equity
BAJFINANCE,Bajaj Finance,NBFC,NBFC,2023,269669000000.0,,115076900000.0,,-8783200000.0,,2752263100000.0,30.031126,,4.9983096,313.407
BAJFINANCE,Bajaj Finance,NBFC,NBFC,2024,343263200000.0,,144511700000.0,,-10377800000.0,,3757416200000.0,30.031126,,4.9983096,313.407
BAJFINANCE,Bajaj Finance,NBFC,NBFC,2025,414795700000.0,,166378200000.0,,-10818200000.0,,4661268300000.0,30.031126,,4.9983096,313.407
BAJFINANCE,Bajaj Finance,NBFC,NBFC,2026,496654500000.0,,190173900000.0,,-9611000000.0,,5599523600000.0,30.031126,,4.9983096,313.407
RELIANCE,Reliance Industries,CONGLOMERATE,Diversified,2022,,,,,,,,22.677048,12.124,2.0277097,36.653
RELIANCE,Reliance Industries,CONGLOMERATE,Diversified,2023,8778350000000.0,1533070000000.0,667020000000.0,0.093262,-1409880000000.0,,16074310000000.0,22.677048,12.124,2.0277097,36.653
RELIANCE,Reliance Industries,CONGLOMERATE,Diversified,2024,9010640000000.0,1769440000000.0,696210000000.0,0.092824,-1528830000000.0,,17559860000000.0,22.677048,12.124,2.0277097,36.653
RELIANCE,Reliance Industries,CONGLOMERATE,Diversified,2025,9646930000000.0,1834220000000.0,696480000000.0,0.087067,-1399670000000.0,,19501210000000.0,22.677048,12.124,2.0277097,36.653
RELIANCE,Reliance Industries,CONGLOMERATE,Diversified,2026,10572190000000.0,2079110000000.0,807750000000.0,0.091774,-1229160000000.0,,21781400000000.0,22.677048,12.124,2.0277097,36.653
HINDUNILVR,Hindustan Unilever,CONSUMER,FMCG,2022,,,,,,,,48.784595,33.791,10.626468,3.016
HINDUNILVR,Hindustan Unilever,CONSUMER,FMCG,2023,595490000000.0,146100000000.0,101200000000.0,0.22041,-11920000000.0,,730870000000.0,48.784595,33.791,10.626468,3.016
HINDUNILVR,Hindustan Unilever,CONSUMER,FMCG,2024,609660000000.0,154760000000.0,102770000000.0,0.217312,-14770000000.0,,784990000000.0,48.784595,33.791,10.626468,3.016
HINDUNILVR,Hindustan Unilever,CONSUMER,FMCG,2025,605730000000.0,161720000000.0,106490000000.0,0.233791,-12750000000.0,,798800000000.0,48.784595,33.791,10.626468,3.016
HINDUNILVR,Hindustan Unilever,CONSUMER,FMCG,2026,637630000000.0,156580000000.0,150400000000.0,0.221516,-13610000000.0,,797520000000.0,48.784595,33.791,10.626468,3.016
